"content","key_term","concept","ls","Emotions","Contributor","title","URL","Created_time"
"I haven't asked my mom if it hurt her when we asked her not to prepare Asian food for lunch. Honestly, making a peanut butter jelly sandwich is easier than preparing something overnight. She was busy, so it simplified things for her. But, I should ask her if that upset her. She doesn't know I avoided inviting friends over because I was embarrassed. I haven't shared that with her.",mom,embarrassment,Adolescence,Embarrassment,annonymous,Thesis Interviewee,,"March 23, 2024 5:59 PM"
"I joined the Hapa club in school, a group for mixed race people. Even though I'm not mixed race, I felt drawn to it. Joining this club and meeting others passionate about their cultures helped me appreciate my Asian heritage. In my sophomore year, all my roommates were Asian, and many of their friends were from an Asian fraternity. My suite mate was second-generation Hong Kongese who, like me, grew up in a predominantly white area. Discussing our experiences and complexities of our cultural identities was eye-opening. One day, I passionately spoke to her about the greatness of being Asian, which she still remembers to this day.",Hapa club,,Adolescence,"Acceptance, Interest, Joy",annonymous,Thesis Interviewee,,"March 23, 2024 5:59 PM"
"I'm absolutely delighted to be Asian now, I'm genuinely grateful for my heritage. The shift in my perspective was gradual and influenced by simple moments: playing mahjong with my family, listening to nostalgic songs, and enjoying home-cooked Taiwanese dishes. These experiences, combined with returning to Taiwan after a long absence, made me realize the privilege of having a distinct culture. I now see this as a gift, especially when I think of my American friends who don't have a strong connection to their cultural roots.",,"connection, cultural pride, identity",,"Joy, Nostalgic",annonymous,Thesis Interviewee,,"March 23, 2024 5:58 PM"
"My dad's definition of success for his children changed around the time we graduated college. He became extremely supportive of our career paths and interests. He celebrated when I expressed interest in becoming an acupuncturist, a psychologist, an occupational therapist, and even when I wanted to pursue design. My dad was under immense stress when starting his business and projected his pressures onto my brother and me. He felt obligated to achieve a certain level of success due to the opportunities his father provided him with, including studying in the US. This expectation extended to us as well. However, once he achieved financial success, he realized it wasn't the most important thing in life. This realization led him to shift his parenting perspective as we became adults, becoming more open-minded and supportive of different career paths.",,adolescence,Adolescence,Acceptance,annonymous,Thesis Interviewee,,"March 23, 2024 5:58 PM"
"Recently, my brother and I discussed the pressure we felt to achieve conventional success. This could be subconsciously related to our upbringing. There was an underlying notion that we'd end up homeless or in low-paying jobs if we didn't work hard, earn a lot of money, or attend a good college. There's a certain pressure to be financially successful.",,fear,Adolescence,Fear,annonymous,Thesis Interviewee,,"March 23, 2024 5:57 PM"
"Growing up, my parents were rather strict, especially regarding academics. They invested a lot in our education, including tutoring in various subjects, particularly math and science. My father emphasized financial success, which instilled a sense of urgency in us to work hard. They often warned us that without hard work, we might end up homeless or in low-paying jobs, a common sentiment among immigrant parents.",,,Adolescence,"Anticipation, Fear, Trust",annonymous,Thesis Interviewee,,"March 23, 2024 5:57 PM"
"Once I got to college, I finally felt happy being Asian. I stopped trying so hard to fit in because I was exposed to many different kinds of people. It was a work in progress, moving from a childhood of trying to blend into a predominantly white society to realizing I didn't have to. This prompted a journey of self-discovery, questioning my identity and feelings about my cultural heritage.",,identity,Adolescence,"Acceptance, Interest, Joy",annonymous,Thesis Interviewee,,"March 23, 2024 5:57 PM"
"My older brother and I, despite sharing the same upbringing and attending the same schools—including college, have turned out to be completely different people. We've discussed our experiences attending a predominantly white school. Unlike me, my brother is much more in touch with his Asian culture and didn't feel the same need to assimilate. He's confident, walks to his own beat, and was actually happy about our school choice. He believes it made him more adept at interacting with different people and that if he had grown up in an Asian-dominated area, he might only be comfortable talking to other Asians. He's grateful our parents chose the path they did.",Chinese School,"assimilation, cultural, second generation immigrant","Adolescence, Young adulthood","Acceptance, Interest",annonymous,Thesis Interviewee,,"March 23, 2024 5:56 PM"
"As I'm getting older, I realize parents do the best they can with the information they have at the moment. They wanted me to have a good education and believed going to a Catholic school was the way to achieve that. The result was living in a predominantly white area. I don't question their choices. If anything, these experiences have hopefully made me a stronger person.",,,Adolescence,"Acceptance, Interest, Nostalgic",annonymous,Thesis Interviewee,,"March 23, 2024 5:55 PM"
"That's an interesting question. I've never thought much about it. My parents always presented my ""whitewashing"" as positive, which might have ingrained subconsciously in me that it's a good thing. Despite everything that happened, I don't view the experience negatively, which might be concerning. ",,,Adolescence,"Acceptance, Pensiveness",annonymous,Thesis Interviewee,,"March 23, 2024 5:55 PM"
"In high school, my best friend was Korean. We both desperately sought to fit in, often downplaying our own vulnerabilities. When I attempted to discuss feelings of difference, she would deny experiencing the same. We were both guarded, likely grappling with similar struggles but never openly addressing them. We stuck together, united by our shared Asian identity, but never fully expressed our feelings due to our mutual pursuit of assimilation.",,,Adolescence,"Grief, Pensiveness, Sadness",annonymous,Thesis Interviewee,,"March 23, 2024 5:55 PM"
"People often ridiculed me, even for my choice of underwear. I felt unwelcome in the dance group due to the girls' unkindness, leading me to quit. There's no question, my school life was filled with many embarrassing moments. I constantly felt embarrassed growing up.",,,Adolescence,Embarrassment,annonymous,Thesis Interviewee,,"March 23, 2024 5:55 PM"
"I loved dance. I used to figure skate as well. High school was tough because I enjoyed dance and wanted to be part of that group. Unfortunately, people would make comments like, ""Do you go home and eat dogs?""",,"identity questioning, stereotype, verbal discrimination",Adolescence,"Annoyance, Embarrassment, Interest",annonymous,Thesis Interviewee,,"March 23, 2024 5:54 PM"
"Growing up, I loved to draw, but when people commented that my art looked very Asian, I felt embarrassed. Consequently, I would change my drawing style to avoid any specific Asian style. In high school, I strove to fit in, even forcing myself to enjoy TV shows and topics I had no interest in. I recall that people implied Asian guys weren't attractive, and fearing mockery, I'd suppress any attraction I had towards Asian guys. Ultimately, I was driven by a strong desire to fit in.",,"Asian stereotype, assimilation, embarrassment",Adolescence,"Embarrassment, Fear",annonymous,Thesis Interviewee,,"March 23, 2024 5:54 PM"
"In college, a friend expressed her love for Japanese culture and her desire for half Asian children, but she didn't want them to look half Japanese, fearing they would be unattractive. This, along with other comments, built up in my subconscious, making me believe that being Asian was less attractive and that white features were more desirable. Even my parents would comment that bigger eyes were more attractive, and being ""whitewashed"" and appearing mixed was seen as a positive. They were pleased that I could assimilate within the culture and communicate with white people, given that I attended a predominantly white school.",Appearance,"assimilation, racial identity",Adolescence,Fear,annonymous,Thesis Interviewee,,"March 23, 2024 5:53 PM"
"I first recognized the white standard of beauty in middle school. I attended an integrated elementary school where I didn't feel different. It wasn't until I moved to a Catholic middle school in fourth grade that I understood I was Asian and different. Little comments, not necessarily derogatory, made me feel different, like a friend suggesting my vision was bad because my eyes were small due to my Asian heritage. ",,"Asian, racial identity, racial representation",Adolescence,"Anger, Embarrassment, Sadness",annonymous,Thesis Interviewee,,"March 23, 2024 5:53 PM"
"I felt uncomfortable inviting friends over, fearing mockery over our Asian artwork or the smell of my mom's cooking. People also made comments that affected my self-perception, saying things like, ""You're pretty for an Asian,"" prompting me to associate beauty with white standards.",,"Asian stereotype, cultural pride, racial identity",Adolescence,"Anger, Embarrassment, Fear",annonymous,Thesis Interviewee,,"March 23, 2024 5:52 PM"
"I was also embarrassed to be Asian, such as when a cheerleading teammate asked if my family ate dogs because we're Chinese. I also faced ignorance about Taiwan, leading me to tell people I was Chinese. ",,"Asian stereotype, embarrassment, identity crisis",Adolescence,"Anger, Annoyance, Embarrassment",annonymous,Thesis Interviewee,,"March 23, 2024 5:51 PM"
"A common experience in my generation was embarrassment over our culture's food. My mom packed Japanese and Taiwanese lunches for me, and I felt uncomfortable because people thought the food smelled strange. So, I requested peanut butter sandwich instead. Interestingly, today's younger generations see Asian food as cool. Growing up, I attended a predominantly white school, feeling like an outsider as one of the few Asians. If my mom called, I wouldn't speak Mandarin to avoid mockery. ",,"cultural, embarrassment, outsider",Adolescence,Embarrassment,annonymous,Thesis Interviewee,,"March 23, 2024 5:51 PM"
"My mom primarily speaks Mandarin, occasionally using a few English words. My dad speaks more English but still mostly Mandarin. He used to travel a lot to China for his business, but now he's semi-retired and works remotely. I struggle with Mandarin because I only speak it when I interact with my parents, which isn't often, resulting in my Mandarin skills weakening.",language,language,Adolescence,Nostalgic,annonymous,Thesis Interviewee,,"March 23, 2024 5:49 PM"
"「There were similarities that cut across nationality and class: the uncommunicative parents, the cultural significance of food, the fact that we all took our shoes off at home. Our young mentees just had to realize such a community was for them, too.」",,"cultural, food",Young adulthood,,Hua Hsu,Stay True,https://a.co/jlyZ4Y2,"March 21, 2024 12:10 AM"
"「The fact that we were all Asian mattered more to me than my mentees. To me, Asian American was a messy, arbitrary category, but one that was produced by a collective struggle. It was a category capacious enough for all of our hopes and energies.」",,"Asian American experience, cultural pride, racial identity",Adolescence,"Acceptance, Interest, Trust",Hua Hsu,Stay True,https://a.co/054fntu,"March 21, 2024 12:10 AM"
"「Our students had a vague sense of all this, thanks in part to their families and the center. I knew this history because of an Asian American studies class I was taking on the Southeast Asian diaspora. There were aspects of their lives that felt familiar. Their parents were busy working as many jobs as they could, and whatever connection they maintained to the past had more to do with household tradition than politics. Words like “genocide” and “trauma” were forbidden.」","language, parents, school",,,"Interest, Nostalgic, Sadness",Hua Hsu,Stay True,https://a.co/054fntu,"March 21, 2024 12:08 AM"
"「I took as many ethnic studies and Asian American studies classes as I could, immersing myself in the traditions that had preceded us. It gave me solace to root around in the past and wonder if some of these moments of solidarity and action could find new spark with our generation. Out of principle, I stopped reading fiction. I wanted to learn only about histories that had been denied to us.」
",,"Asian American experience, identity questioning, personal implications",Adolescence,"Interest, Pensiveness, Serenity",Hua Hsu,Stay True,https://a.co/2ggPYVX,"March 21, 2024 12:05 AM"
"""Yeah, I want to say that’s how I feel – because like thinking about it, I would call my dad Lao but I would call myself Laotian American because I think I’m a little more integrated in the American society and I’ve also been a little more Americanized, compared to my dad. So that’s how I would see it.”",language,"Americanized, assimilation, cultural, ethnicity, identity, language, second generation immigrant",Young adulthood,"Acceptance, Interest, Trust",U.S.-born man of Laotian origin in late 20s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 10:11 PM"
"""“Right now it has been a little difficult. I think it has been for all Asians because of the COVID issue … but I’m glad that we’re all here [in America]. I think we should be proud to be here. I’m glad that our families have traveled here, and we can help make life better for communities, our families and ourselves. I think that’s really a wonderful thing. We can be those role models for a lot of the future, the younger folks. I hope that something I did in the last years will have impacted either my family, friends or students that I taught in other community things that I’ve done. So you hope that it helps someplace along the line.”",,"Asian, role models",,"Joy, Pensiveness, Sadness",U.S.-born woman of Japanese origin in mid-60s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 10:09 PM"
"""I think like right now with the coronavirus, I think we’re just Chinese, Chinese American, well, just Asian American or Asians in general, you’re just going through the same struggles right now. Like everyone is just blaming whoever looks Asian about the virus. You don’t feel safe.”",,"Asian, racial identity, racial representation",Adolescence,"Anger, Pensiveness, Sadness",U.S.-born man of Chinese origin in early 30s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 10:08 PM"
"""“I find that there’s a, ‘So but where are you from?’ Like even in professional settings when they feel comfortable enough to ask you. ‘So – so where are you from?’ ‘Oh, I was born in [names city], Colorado. Like at [the hospital], down the street.’ ‘No, but like where are you from?’ ‘My mother’s womb?’”",,"identity, language barrier, stereotypes",Adolescence,Annoyance,U.S.-born woman of Indian origin in early 40s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 10:06 PM"
"""“I always get that question of, you know, ‘Where are you from?’ and I’m like, ‘I’m from America.’ And then they’re like, ‘No. Where are you from-from?’ and I’m like, ‘Yeah, my family is from Pakistan,’ so it’s like I always had like that dual identity even though it’s never attached to me because I am like, of Pakistani descent.”",,"ethnicity, identity, second generation immigrant",Adolescence,"Acceptance, Interest, Trust",U.S.-born man of Pakistani origin in early 20s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 10:06 PM"
"""“Indian people and Asian people, like … our parents or grandparents are the ones who immigrated here … against all odds. … A lot of Indian and Asian people have succeeded and have done really well for themselves because they’ve worked themselves to the bone. So now the expectations [of] the newer generations who were born here are incredibly unrealistic and high. And you get that not only from your family and the Indian community, but you’re also getting it from all of the American people around you, expecting you to be … insanely good at math, play an instrument, you know how to do this, you know how to do that, but it’s not true. And it’s just living with those expectations, it’s difficult.”",,"ethnicity, model minority myth, second generation immigrant",,,U.S.-born woman of Indian origin in early 20s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 10:04 PM"
"""As an Asian person, I feel like there’s that stereotype that Asian students are high achievers academically. They’re good at math and science. … I was a pretty mediocre student, and math and science were actually my weakest subjects, so I feel like it’s either way you lose. Teachers expect you to fit a certain stereotype and if you’re not, then you’re a disappointment, but at the same time, even if you are good at math and science, that just means that you’re fitting a stereotype. It’s [actually] your own achievement, but your teachers might think, ‘Oh, it’s because they’re Asian,’ and that diminishes your achievement.”",,"Asian, stereotype",,,U.S.-born woman of Korean origin in late 20s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 10:02 PM"
"“I value my Hmong culture, and language, and ethnicity, but I also do acknowledge, again, that I was born here in America and I’m grateful that I was born here, and I was given opportunities that my parents weren’t given opportunities for.”",language,"cultural, ethnicity, language",,Acceptance,U.S.-born woman of Hmong origin in early 30s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 10:00 PM"
"“I would also say [that I am] Indian American just because I find myself always bouncing between the two … it’s not even like dual identity, it just is one whole identity for me, like there’s not this separation. … I’m doing [both] Indian things [and] American things. … They use that term like ABCD … ‘American Born Confused Desi’ … I don’t feel that way anymore, although there are those moments … but I would say [that I am] Indian American for sure.”",,"Americanized, Asian, Asian stereotype, cultural, diversity, ethnicity, identity, identity crisis, language, racial customization, racial identity, racial representation, representation, second generation immigrant, stereotype, third culture kids",Young adulthood,"Acceptance, Interest, Serenity",U.S.-born woman of Indian origin in early 30s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 9:57 PM"
"""“So basically, all I know is that I was born in the United States. Again, when I came back, I didn’t feel any barrier with my other friends who are White or Black. … Then I got a little confused in high school when I had trouble self-identifying if I am Asian, Chinese American, like who am I. … Should I completely immerse myself in the American culture? Should I also keep my Chinese identity and stuff like that? So yeah, that was like the middle of that mist. Now, I’m pretty clear about myself. I think I am Chinese American, Asian American, whatever people want.”",,"assimilation, cultural difference, identity",Adolescence,Pensiveness,U.S.-born woman of Chinese origin in early 20s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 9:57 PM"
"“I definitely consider myself Japanese American. I mean I’m Japanese and American. Really, ever since I’ve grown up, I’ve really admired Japanese culture. I grew up watching a lot of anime and Japanese black and white films. Just learning about [it], I would hear about Japanese stuff from my grandparents … myself, and my family having blended Japanese culture and American culture together.”",,"Asian, cultural, identity",,"Admiration, Interest",U.S.-born man of Japanese origin in late 20s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 9:55 PM"
"""As a woman or being a girl, because of your gender, you have to keep your mouth shut [and] wait so that they call on you for you to speak up. … I do respect our elders and I do respect hearing their guidance but I also want them to learn to hear from the younger person … because we have things to share that they might not know and that [are] important … so I like to challenge gender roles or traditional roles because it is something that [because] I was born and raised here [in America], I learn that we all have the equal rights to be able to speak and share our thoughts and ideas.”",,,Adolescence,"Acceptance, Interest, Trust",U.S.-born woman of Cambodian origin in mid-30s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 9:54 PM"
"“I feel like one of the biggest things I’ve seen, just like [my] Asian American friends overall, is the kind of family-individualistic clash … like wanting to do your own thing is like, is kind of instilled in you as an American, like go and … follow your dream. But then you just grow up with such a sense of like also wanting to be there for your family and to live up to those expectations, and I feel like that’s something that’s very pronounced in Asian cultures.”",,"assimilation, cultural, identity",Adolescence,"Apprehension, Nostalgic, Trust",U.S.-born man of Indian origin in mid-20s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 9:53 PM"
"“Being bi-ethnic and tri-cultural creates so many unique dynamics, and … one of the dynamics has to do with … what it is to be Americanized. … One of the things that played a role into how I associate the identity is language. Now, my father never spoke Spanish to me … because he wanted me to develop a fluency in English, because for him, he struggled with English. What happened was three out of the four people that raised me were Khmer … they spoke to me in Khmer. We’d eat breakfast, lunch and dinner speaking Khmer. We’d go to the temple in Khmer with the language and we’d also watch videos and movies in Khmer. … Looking into why I strongly identify with the heritage, one of the reasons is [that] speaking that language connects to the home I used to have [as my families have passed away].”",language,"ethnicity, identity, language",Adolescence,"Acceptance, Interest, Nostalgic",U.S.-born man of Cambodian origin in early 30s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 9:52 PM"
"""“I would say I went through an identity crisis. … It’s because of being multicultural. … There’s also French in the mix within my family, too. Because I don’t identify, speak or understand the language, I really can’t connect to the French roots … I’m in between like Cambodian and Thai, and then Chinese and then French … I finally lumped it up. I’m just an Asian American and proud of all my roots.”
""",,identity crisis,,"Acceptance, Nostalgic, Pensiveness",U.S.-born woman of Cambodian origin in mid-30s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 9:49 PM"
"“I guess … I feel like I just kind of check off ‘Asian’ [for] an application or the test forms. That’s the only time I would identify as Asian. But Asian is too broad. Asia is a big continent. Yeah, I feel like it’s just too broad. To specify things, you’re Taiwanese American, that’s exactly where you came from.”",,"Asian, ethnicity, racial identity, racial representation",Adolescence,"Acceptance, Interest, Pensiveness",U.S.-born woman of Taiwanese origin in early 20s,What It Means To Be Asian in America,https://www.pewresearch.org/race-ethnicity/2022/08/02/what-it-means-to-be-asian-in-america/,"March 17, 2024 9:41 PM"
"「“Zines are a metaphor for life,” I wrote in the welcome note. “It’s your creation and your voice and your life… a form of expression that can be perverted by nobody and accepted/ hated by everybody… Create, destroy, and subvert.」",,,Adolescence,"Acceptance, Interest",Hua Hsu,Stay True," https://a.co/b9lGcv","March 16, 2024 12:58 AM"
"「There was a page listing my favorite websites (“ terrific Karl Marx site,” “live Pavement recordings, all RealAudio”), stories from the Oakland warehouse raves where I’d go and dance by myself, dispatches from an Asian American film festival I’d covered for my newspaper internship, a poem by a beautiful skater girl I’d met through Anthony.」",,,Adolescence,,Hua Hsu,Stay True,https://a.co/b9lGcvi,"March 16, 2024 12:57 AM"
"Jeremy Lin is a significant figure for many Asian Americans, breaking numerous stereotypes as one of the first Asian American NBA players to make a substantial impact. He's a role model to many, including myself, due to his community contributions and trailblazing achievements. Regardless of your background, his story surpasses expectations. He has made a lasting impact and continues to be popular today. I've watched many of his games and still enjoy his highlights. He also openly acknowledges his heritage, which is an important part of his story. It's commendable that he shares this, as many people, whether from Taiwan or the States, can relate to it.",Jeremy Lin,"racial identity, racial representation, role models",Young adulthood,"Admiration, Interest, Joy",Winston,Thesis Interviewee,,"March 15, 2024 3:34 PM"
